source	target	type
A2M	ARHGEF6	association
A2M	CDC42	physical-association
A2M	MMP1	physical-association
A2M	MMP3	physical-association
A2M	RHOA	physical-association
A2M	SOS1	association
AAAS	CCNB2	physical-association
AAAS	CDK1	physical-association
AAAS	RAN	physical-association
AAAS	RANBP1	association
AAAS	XPO1	physical-association
AATF	NGFR	physical-association
ABCA1	CREBBP	association
ABCA1	NCOR1	association
ABCA1	RXRA	association
ABCA1	SIN3A	association
ABCB1	MIR451A	association
ABCB1	SLC22A1	association
ABCB1	SLC22A2	association
ABCB1	SLC22A3	association
ABCB4	CREBBP	association
ABCB4	NCOR1	association
ABCB4	RXRA	association
ABCB4	SIN3A	association
ABCC1	ALOX5	association
ABCC1	ALOX5AP	association
ABCC1	GGT1	association
ABCC1	GGT5	association
ABCC1	LMBRD1	association
ABCC1	LTC4S	association
ABCC1	MIR345	association
ABCC1	MIR7-1	association
ABCC1	TCN1	association
ABCC1	TCN2	association
ABCC5	CD44	association
ABCC8	PRKACA	association
ABCC8	SLC25A4	association
ABHD5	PRKACA	association
ABI1	ABL1	physical-association
ABI1	CDC42	association
ABI1	CRK	association
ABI1	FCGR1A	association
ABI1	GRB2	association
ABI1	HSP90AA1	association
ABI1	MAPK1	physical-association
ABI1	PIK3CA	association
ABI1	PIK3R2	association
ABI1	PTK2	association
ABI1	PXN	association
ABI1	RAC1	physical-association
ABI1	SRC	association
ABI1	SYK	association
ABI1	VEGFA	association
ABL1	ACTB	association
ABL1	ACTG1	association
ABL1	ACTR2	association
ABL1	ACTR3	association
ABL1	ARPC1A	association
ABL1	ARPC2	association
ABL1	ARPC3	association
ABL1	ARPC4	association
ABL1	ARPC5	association
ABL1	BAIAP2	physical-association
ABL1	BNIP2	physical-association
ABL1	BOC	physical-association
ABL1	BRK1	physical-association
ABL1	CABLES1	physical-association
ABL1	CAP1	physical-association
ABL1	CAP2	physical-association
ABL1	CDC42	physical-association
ABL1	CDH15	physical-association
ABL1	CDH2	physical-association
ABL1	CDK5	physical-association
ABL1	CDON	physical-association
ABL1	CLASP1	physical-association
ABL1	CLASP2	physical-association
ABL1	CTNNA1	physical-association
ABL1	CTNNA2	physical-association
ABL1	CTNNB1	physical-association
ABL1	CYFIP2	physical-association
ABL1	GPC1	physical-association
ABL1	GRB2	association
ABL1	MAP2K6	association
ABL1	MAP3K7	association
ABL1	MAPK1	association
ABL1	MAPK11	physical-association
ABL1	MAPK12	physical-association
ABL1	MAPK14	physical-association
ABL1	MAPK3	association
ABL1	MEF2A	association
ABL1	MEF2C	association
ABL1	MYC	association
ABL1	NCK1	association
ABL1	NCKAP1	physical-association
ABL1	NCKIPSD	association
ABL1	RAC1	physical-association
ABL1	ROBO1	physical-association
ABL1	SHC2	association
ABL1	SLIT2	physical-association
ABL1	SPAG9	physical-association
ABL1	STAT5A	association
ABL1	TAB1	association
ABL1	TAB2	association
ABL1	TAB3	association
ABL1	TCF3	association
ABL1	WAS	association
ABL1	WASF2	physical-association
ABL1	WASL	association
ABL1	WIPF1	association
ABL1	WIPF2	association
ABL1	WIPF3	association
ABLIM1	DCC	physical-association
ABLIM1	PTK2	physical-association
ABLIM1	RAC1	physical-association
ABLIM1	SRC	physical-association
ABLIM2	DCC	physical-association
ABLIM2	PTK2	physical-association
ABLIM2	RAC1	physical-association
ABLIM2	SRC	physical-association
ABLIM3	DCC	physical-association
ABLIM3	PTK2	physical-association
ABLIM3	RAC1	physical-association
ABLIM3	SRC	physical-association
ABR	ARHGEF6	association
ABR	CDC42	physical-association
ABR	PIK3R2	association
ABR	RAC1	physical-association
ABR	RALBP1	association
ABR	RHOA	physical-association
ABR	ROCK1	association
ABR	SOS1	association
ACACB	SP1	association
ACADM	CREBBP	association
ACADM	NCOR1	association
ACADM	RXRA	association
ACADM	SIN3A	association
ACAN	MMP1	physical-association
ACAN	MMP3	physical-association
ACAN	MMP9	physical-association
ACAN	TNC	physical-association
ACD	BRCA1	association
ACD	PCNA	association
ACD	POLD3	association
ACIN1	CASP3	physical-association
ACKR3	ADCY1	association
ACKR3	C3	physical-association
ACKR3	CCR3	association
ACKR3	CCR4	association
ACKR3	CCR5	association
ACKR3	CCR7	association
ACKR3	CCR8	association
ACKR3	IL8	physical-association
ACKR3	PIK3R5	association
ACOX1	CREBBP	association
ACOX1	NCOR1	association
ACOX1	RXRA	association
ACOX1	SIN3A	association
